id;familia;producto;aseguradora;cubre;dirigido_a;relevante_reto;precio_desde;url
vida-personal-familiar;Vida y exequial;Seguro de Vida (personal y familiar);;Fallecimiento | Incapacidad | Respaldo económico para beneficiarios;Personas y familias que quieren proteger su ingreso y a sus beneficiarios;True;;https://www.colsubsidio.com/seguros/familiares/vida
vida-ahorro;Vida y exequial;Seguro Vida y Ahorro (Doble Beneficio);BMI Seguros Colombia (por confirmar en el flujo de compra);Fallecimiento accidental | Incremento automático de capital | Componente de ahorro;Quien busca protección por fallecimiento accidental mientras ahorra;True;;https://www.colsubsidio.com/seguros/personal/vida-exequial/vida-ahorro
accidentes-personales-metlife;Vida y exequial;Seguro de Accidentes Personales (clausulado MetLife);MetLife Colombia Seguros de Vida S.A.;Muerte accidental | Muerte presunta por desaparecimiento | Muerte o lesiones por atraco | Incapacidad | Gastos médicos | Gastos funerarios;"Afiliados que quieren protección económica ante un accidente; entrada de bajo costo. Nota: coexiste con el AP de Chubb — confirmar cuál vende el canal del reto";True;;https://www.colsubsidio.com/seguros/personal/accidentes
accidentes-personales-chubb;Vida y exequial;Accidentes Personales (Chubb, anual);Chubb Seguros Colombia;Accidentes personales (cobertura básica anual);"Afiliados; producto del paquete Chubb-Colsubsidio";True;;https://www.chubb.com/co-es/personas-y-familias/colsubsidio.html
ap-digital-chubb;Vida y exequial;Accidentes Personales Digital (Chubb);Chubb Seguros Colombia;Accidentes personales por canal de venta digital;Afiliados en canal digital — encaja de forma natural con un funnel de venta automatizada;True;;https://www.chubb.com/co-es/personas-y-familias/colsubsidio.html
proteccion-urbana-chubb;Vida y exequial;Protección Urbana (Chubb);Chubb Seguros Colombia;Protección integral ante riesgos urbanos;"Afiliados en entornos urbanos; producto del paquete Chubb-Colsubsidio";True;;https://www.chubb.com/co-es/personas-y-familias/colsubsidio.html
accidentes-exequial;Vida y exequial;Seguro de Accidentes Personales y Exequial;;Muerte accidental | Servicio exequial / gastos funerarios;Familias que quieren accidentes + respaldo funerario en un solo producto;True;;https://www.colsubsidio.com/seguros/familiares/accidente-exequial
exequial;Vida y exequial;Seguro Exequial (funerario);BMI Seguros Colombia;Gastos funerarios completos | Acompañamiento en el fallecimiento de un ser querido;Personas que quieren cubrir gastos funerarios propios y de su grupo familiar;True;;https://www.colsubsidio.com/seguros/personal/vida-exequial/funerario
oncologico;Salud y asistencias;Producto Oncológico (Chubb);Chubb Seguros Colombia;Diagnóstico y tratamiento de cáncer | Suma asegurada oncológica;Personas que quieren protección financiera ante el cáncer. Nota: el Crédito Mujer de Colsubsidio incluye protección oncológica como beneficio;True;;https://www.chubb.com/co-es/personas-y-familias/colsubsidio.html
asistencias-multiples;Salud y asistencias;Asistencias Múltiples para Hogar y Vehículo;;Asistencia para el hogar | Asistencia para el vehículo | Servicios de emergencia 24/7;Hogares que quieren respaldo ante imprevistos domésticos y del carro;True;;https://www.colsubsidio.com/seguros/personal/asistencias-multiples
asistencias-medicas-familiares;Salud y asistencias;Asistencias médicas familiares;;Orientación y atención médica | Asistencias para la familia;Familias que quieren respaldo médico complementario;True;;https://www.colsubsidio.com/seguros/familiares
asistencias-medicas-viajes;Salud y asistencias;Asistencia médica en viajes;;Protección médica en viajes nacionales e internacionales;"Afiliados que viajan; posible venta cruzada con agencia de viajes Colsubsidio";True;;https://www.colsubsidio.com/seguros/familiares/asistencias-medicas-viajes
hogar-contenido;Hogar y patrimonio;Seguro para el Hogar y su Contenido;;Terremoto | Incendio | Robo | Erupción | Contenidos del hogar;Propietarios y arrendatarios que quieren proteger su vivienda y sus bienes;True;;https://www.colsubsidio.com/seguros/hogar/contenido
arrendamiento;Hogar y patrimonio;Seguro de Arrendamiento (garantía de arriendo);Seguros SURA (versión digital);Garantía del canon de arriendo | Protección del contrato y del inmueble;"Propietarios que arriendan; afiliados y no afiliados (versión digital)";False;;https://www.colsubsidio.com/seguros/hogar/arrendamiento
soat;Vehículos;SOAT (carro y moto);;Gastos médicos por accidente de tránsito | Incapacidad permanente | Muerte y gastos funerarios | Transporte de víctimas;"Todo dueño de vehículo (obligatorio por ley; renovación anual = contacto recurrente). Una de las líneas de mayor volumen de ventas según los organizadores";True;Tarifa regulada pública — fijada por la Superintendencia Financiera según tipo de vehículo, cilindraje y antigüedad. Usar valor real, no simulado;https://www.colsubsidio.com/seguros/vehiculos/soat
todo-riesgo-carro;Vehículos;Seguro Todo Riesgo para Carro;;Daños | Robo | Responsabilidad civil a terceros | Grúa y asistencia 24/7;Dueños de carro que quieren cobertura más allá del SOAT;True;;https://www.colsubsidio.com/seguros/vehiculos/carro
todo-riesgo-moto;Vehículos;Seguro Todo Riesgo para Moto;;Todo riesgo | Daños a terceros | Servicio de grúa | Protección legal;Dueños de moto que quieren cobertura más allá del SOAT;True;;https://www.colsubsidio.com/seguros/vehiculos/moto
vehiculo-bici-patineta;Vehículos;Seguro para Bicicleta, Scooter y Patineta eléctrica;;Daños | Robo | Responsabilidad civil;Usuarios de micromovilidad;True;;https://www.colsubsidio.com/seguros/vehiculos/bicicleta-patineta
mascota-perro-gato;Mascotas;Seguro para Mascotas (perro y gato);;Asistencia médica veterinaria | Responsabilidad civil | Protección ante daños;Dueños de perros y gatos;True;;https://www.colsubsidio.com/seguros/mascotas/perro-gato
