tema,cifra,fuente
Penetración del seguro,"Colombia cerró 2024 en 3,29% primas/PIB vs. 6,2% OCDE.","Fasecolda / La República, feb-2025"
Informalidad laboral,"55,4% de la población ocupada es informal (57,8% hombres, 51,9% mujeres).","DANE, GEIH sep-nov 2025"
Composición de hogares,"Hogar promedio 2,86 personas; 46,5% jefatura femenina, 68,8% de ellas sin pareja.","DANE, ECV 2024"
Vivienda,"40,4% en arriendo; 36% propia pagada; 3,5% pagándola.","DANE, ECV 2024"
Vida individual,Solo ~16% de la PEA tiene vida individual; consumo per cápita ~$370.000/año.,"Fasecolda, dic-2024"
Salud voluntaria,"~4,25M colombianos con esquema de salud voluntario adicional.","Fasecolda / Acemi / Proesa, 2024"
Cáncer por edad,"53,2% casos en hombres y 38,3% en mujeres ocurren en 65+ años.","INC, 2022-2024"
Exequial,"47,5% de hogares con algún esquema; solo 2,7% con póliza fúnebre formal.","Superfinanciera / Fasecolda, 2018-2021"
Autos y motos,"Solo 12,2% del parque tiene todo riesgo (27% carros, 2,8-3% motos).","Fasecolda, 2024-2025"
Hogar,"Solo 9,3% de hogares con seguro de vivienda voluntario; +70% atadas a hipoteca.","Fasecolda / Semana, mar-2026"
Mascotas,60-70% de hogares tiene mascota; mercado crece 40% anual.,"DANE / Kantar / SURA, 2024-2026"
Bicicletas y patinetas eléctricas,"Hurto de una bicicleta cada 2,5h en Bogotá (2025); el parque de patinetas eléctricas crece rápido y sin cifra de aseguramiento consolidada.","Secretaría de Seguridad Bogotá, 2024-2026"
Arrendamiento,Costo típico 40-75% de un canon; 1 de cada 4 contratos termina en conflicto.,"Coriesgos / Inmobiliare Latam, 2026"
Estratos e ingreso,Clase media $853.608-$4.596.352 (32-34% de la población).,"DANE, GEIH 2024"
Representatividad Colsubsidio,Afilia principalmente trabajadores dependientes formales — mayor formalidad que el promedio nacional.,Supuesto de trabajo — no público
